product_code;kebutuhan;created_at
706-GLU;1000;20202
706-HCL;1000;20202
706-PHP;500;20202
706-MNS;250;20202
706-MTL;6000;20202
706-CCH;25;20202
706-WPM;1000;20202
706-ALK;30000;20202
706-MMS;50000;20202
706-DCA;135;20202
706-KNO;4000;20202
706-CNO;4000;20202
706-BES;100;20202
706-MNP;4000;20202
706-KSO;1000;20202
706-AEN;4000;20202
706-MAG;4000;20202
706-MAN;1000;20202
706-TCU;4000;20202
706-SZN;4000;20202
706-ISO;4000;20202
706-AMO;30;20202
706-IOD;125;20202
706-MET;500;20202
706-EOS;500;20202
706-AQU;10000;20202
706-BAP;20;20202
706-PRO;2500;20202
706-PHD;2;20202
706-TIS;2;20202
706-TER;250;20202
706-LBK;6;20202
706-DET;900;20202
706-DED;1000;20202
706-BKG;1000;20202
706-BBD;10;20202
706-BBY;25;20202
706-BBM;50;20202
706-BSL;250;20202
706-BMN;500;20202
706-BMH;250;20202
706-BSD;15;20202
706-BCR;10;20202
706-BSW;25;20202
706-BPC;25;20202
706-BSM;10;20202
706-BTM;10;20202
706-BKK;20;20202
706-BBC;100;20202
706-BTC;25;20202
706-BCB;25;20202
706-BJM;250;20202
706-KMG;250;20202
706-TSP;1000;20202
706-PPK-1;1;20202
706-TNH;1;20202
706-CCP;5000;20202
706-SBK;1;20202
706-KSC;1;20202
706-TOB;1;20202
706-MJK;1;20202
706-GUA;1;20202
706-GAB;1;20202
706-PHU;1;20202
706-PPK-2;0;20202
706-KSR;0;20202
706-PDA;0;20202
706-AGR;0;20202
706-ASK;0;20202
706-HNO;0;20202
706-BFR-1;0;20202
706-BFR-2;0;20202
706-DEX;0;20202
706-KAN;0;20202
706-FEE;0;20202
706-MKP;0;20202
706-ASF;0;20202
706-MGS;0;20202
706-CUS;0;20202
706-ZNS;0;20202
706-HBO;0;20202
706-AHM;0;20202
706-ASS;0;20202
706-NAA;0;20202
706-PPM;0;20202
706-NOH;0;20202
706-CAA;0;20202
706-BAG;0;20202
706-SUC;0;20202
706-IBA;0;20202
706-KCL;0;20202
706-AAG;0;20202
706-AAS;0;20202
706-PAC;0;20202
706-CAM;0;20202
706-LGL;0;20202
706-MER;0;20202
706-IAA;0;20202
706-HAK;0;20202
706-KOH;0;20202
706-BBA;0;20202
706-BUB;0;20202
706-BKT;0;20202
706-BBK;0;20202
706-BBT;0;20202
706-PLY;2;20202
706-BTR;1;20202
706-KPS;0;20202
706-KRG;0;20202
706-GLM;0;20202
706-BTN;0;20202
706-BTA;0;20202
706-PPK-3;12000;20202
706-PES;0;20202
706-BHK;0;20202
706-MBK;0;20202
706-MJM;0;20202
706-BMM;0;20202
706-BFG;0;20202
706-MTN;0;20202
706-ABM;0;20202
706-HER;0;20202
706-ICR;0;20202
706-INM;0;20202
706-PPK-4;0;20202
706-PPK-5;0;20202
706-BJV;0;20202
706-BCV;0;20202
706-BKP;0;20202
706-BKA;0;20202
706-BKU;0;20202
706-BSA;0;20202
706-BML;0;20202
706-BRS;0;20202
706-TRA;1;20202
706-PPU-1;0;20202
706-PPU-2;0;20202
706-ZIP;0;20202
706-PKK;32;20202
706-FUN;0;20202
706-FUR;0;20202
706-BKI;0;20202
706-BKH;0;20202
706-BSY;0;20202
706-AMP;0;20202
706-GUN;0;20202
706-CUP;1;20202
706-BBG;0;20202
706-BBB;0;20202
706-BLD;0;20202
706-ZPT;0;20202
706-BPS;0;20202
706-BPP;0;20202
706-SEL;0;20202
706-BUJ;0;20202
706-BAL;0;20202
706-BKM;0;20202
706-BMG;0;20202
706-AOL;0;20202
706-TRI;0;20202
706-BEE;0;20202
706-BPI;0;20202
706-BJU;0;20202
706-GLU;0;20211
706-HCL;0;20211
706-PHP;0;20211
706-MNS;0;20211
706-MTL;0;20211
706-CCH;0;20211
706-WPM;0;20211
706-ALK;0;20211
706-MMS;0;20211
706-DCA;0;20211
706-KNO;0;20211
706-CNO;0;20211
706-BES;0;20211
706-MNP;0;20211
